BENUE STATE PENSION COMMISSION,,,,,,,,,,,
(MDA NAME) STAFF ELIGIBILITY LIST,,,,,,,,,,,
S/N,STAFF ID,SURNAME,FIRSTNAME,OTHERNAMES,GENDER,DATE OF BIRTH,DATE OF FIRST APPT.,GRADE LEVEL,QUALIFICATION,CONFIRMATION,GROSS PAY
1,112233,JOHN,TERSOO,JOHN,M,10-Oct-02,06-Jun-1993,14/,CHEW,06-Jun-1993,"150,000.00"
2,112234,JOHN,TERSOO,JOHN,M,11-Oct-02,06-Jun-1994,14/,CHEW,06-Jun-1994,"150,001.00"
3,112235,JOHN,TERSOO,JOHN,M,12-Oct-02,06-Jun-1995,14/,CHEW,06-Jun-1995,"150,002.00"
4,112236,JOHN,TERSOO,JOHN,M,13-Oct-02,06-Jun-1996,14/,CHEW,06-Jun-1996,"150,003.00"
5,112237,JOHN,TERSOO,JOHN,M,14-Oct-02,06-Jun-1997,14/,CHEW,06-Jun-1997,"150,004.00"
6,112238,JOHN,TERSOO,JOHN,M,15-Oct-02,06-Jun-1998,14/,CHEW,06-Jun-1998,"150,005.00"
7,112239,JOHN,TERSOO,JOHN,M,16-Oct-02,06-Jun-1999,14/,CHEW,06-Jun-1999,"150,006.00"
8,112240,JOHN,TERSOO,JOHN,M,17-Oct-02,06-Jun-2000,14/,CHEW,06-Jun-2000,"150,007.00"
9,112241,JOHN,TERSOO,JOHN,M,18-Oct-02,06-Jun-2001,14/,CHEW,06-Jun-2001,"150,008.00"
10,112242,JOHN,TERSOO,JOHN,M,19-Oct-02,06-Jun-2002,14/,CHEW,06-Jun-2002,"150,009.00"
11,112243,JOHN,TERSOO,JOHN,M,20-Oct-02,06-Jun-2003,14/,CHEW,06-Jun-2003,"150,010.00"
12,112244,JOHN,TERSOO,JOHN,M,21-Oct-02,06-Jun-2004,14/,CHEW,06-Jun-2004,"150,011.00"
13,112245,JOHN,TERSOO,JOHN,M,22-Oct-02,06-Jun-2005,14/,CHEW,06-Jun-2005,"150,012.00"
14,112246,JOHN,TERSOO,JOHN,M,23-Oct-02,06-Jun-2006,14/,CHEW,06-Jun-2006,"150,013.00"
15,112247,JOHN,TERSOO,JOHN,M,24-Oct-02,06-Jun-2007,14/,CHEW,06-Jun-2007,"150,014.00"
16,112248,JOHN,TERSOO,JOHN,M,25-Oct-02,06-Jun-2008,14/,CHEW,06-Jun-2008,"150,015.00"
17,112249,JOHN,TERSOO,JOHN,M,26-Oct-02,06-Jun-2009,14/,CHEW,06-Jun-2009,"150,016.00"
18,112250,JOHN,TERSOO,JOHN,M,27-Oct-02,06-Jun-2010,14/,CHEW,06-Jun-2010,"150,017.00"
19,112251,JOHN,TERSOO,JOHN,M,28-Oct-02,06-Jun-2011,14/,CHEW,06-Jun-2011,"150,018.00"
20,112252,JOHN,TERSOO,JOHN,M,29-Oct-02,06-Jun-2012,14/,CHEW,06-Jun-2012,"150,019.00"
21,112253,JOHN,TERSOO,JOHN,M,30-Oct-02,06-Jun-2013,14/,CHEW,06-Jun-2013,"150,020.00"
22,112254,JOHN,TERSOO,JOHN,M,31-Oct-02,06-Jun-2014,14/,CHEW,06-Jun-2014,"150,021.00"
23,112255,JOHN,TERSOO,JOHN,M,01-Nov-02,06-Jun-2015,14/,CHEW,06-Jun-2015,"150,022.00"
24,112256,JOHN,TERSOO,JOHN,M,02-Nov-02,06-Jun-2016,14/,CHEW,06-Jun-2016,"150,023.00"
25,112257,JOHN,TERSOO,JOHN,M,03-Nov-02,06-Jun-2017,14/,CHEW,06-Jun-2017,"150,024.00"
26,112258,JOHN,TERSOO,JOHN,M,04-Nov-02,06-Jun-2018,14/,CHEW,06-Jun-2018,"150,025.00"
27,112259,JOHN,TERSOO,JOHN,M,05-Nov-02,06-Jun-2019,14/,CHEW,06-Jun-2019,"150,026.00"
28,112260,JOHN,TERSOO,JOHN,M,06-Nov-02,06-Jun-2020,14/,CHEW,06-Jun-2020,"150,027.00"
29,112261,JOHN,TERSOO,JOHN,M,07-Nov-02,06-Jun-2021,14/,CHEW,06-Jun-2021,"150,028.00"
30,112262,JOHN,TERSOO,JOHN,M,08-Nov-02,06-Jun-2022,14/,CHEW,06-Jun-2022,"150,029.00"
