BENUE STATE PENSION COMMISSION,,,,,,,,,,,,,,
(PFA NAME) PIN Generation Report ,,,,,,,,,,,,,,
S/N,RSA PIN,FORM REF NO.,SURNAME,FIRSTNAME,OTHERNAMES,GENDER,DATE OF BIRTH,NIN,PHONE NO,EMAIL,INSTITUTION NAME,DATE OF FIRST APPT.,STAFF ID,PIN REG DATE
1,PEN111111777777,00008943,JOHNr,TERSOOs,JOHN,M,10-Oct-02,77058443886,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1993,P142,18-Mar-2020
2,PEN111111777777,00008944,JOHNw,TERSOOu,JOHN,M,11-Oct-02,77058443887,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1994,P143,18-Mar-2021
3,PEN111111777777,00008945,JOHNr,TERSOOk,JOHN,M,12-Oct-02,77058443888,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1995,P144,18-Mar-2022
4,PEN111111777777,00008946,JOHNy,TERSOOm,JOHN,M,13-Oct-02,77058443889,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1996,P145,18-Mar-2023
5,PEN111111777777,00008947,JOHNu,TERSOOv,JOHN,M,14-Oct-02,77058443890,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1997,P146,18-Mar-2024
6,PEN111111777777,00008948,JOHNi,TERSOOs,JOHN,M,15-Oct-02,77058443891,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1998,P147,18-Mar-2025
7,PEN111111777777,00008949,JOHNc,TERSOOw,JOHN,M,16-Oct-02,77058443892,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-1999,P148,18-Mar-2026
8,PEN111111777777,00008950,JOHNb,TERSOOa,JOHN,M,17-Oct-02,77058443893,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-2000,P149,18-Mar-2027
9,PEN111111777777,00008951,JOHNs,TERSOOs,JOHN,M,18-Oct-02,77058443894,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-2001,P150,18-Mar-2028
10,PEN111111777777,00008952,JOHNs,TERSOOb,JOHN,M,19-Oct-02,77058443895,08033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-2002,P151,18-Mar-2029
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
