RSA PIN,FORM REF NO.,SURNAME,FIRSTNAME,OTHERNAMES,GENDER,DATE OF BIRTH,NIN,PHONE NO,EMAIL,INSTITUTION NAME,DATE OF FIRST APPT.,STAFF ID,PIN REG DATE
PEN111111777777,8943,JOHNr,TERSOOs,JOHN,M,10-Oct-02,77058443886,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-93,P142,18-Mar-20
PEN111111777777,8944,JOHNw,TERSOOu,JOHN,M,11-Oct-02,77058443887,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-94,P143,18-Mar-21
PEN111111777777,8945,JOHNr,TERSOOk,JOHN,M,12-Oct-02,77058443888,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-95,P144,18-Mar-22
PEN111111777777,8946,JOHNy,TERSOOm,JOHN,M,13-Oct-02,77058443889,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-96,P145,18-Mar-23
PEN111111777777,8947,JOHNu,TERSOOv,JOHN,M,14-Oct-02,77058443890,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-97,P146,18-Mar-24
PEN111111777777,8948,JOHNi,TERSOOs,JOHN,M,15-Oct-02,77058443891,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-98,P147,18-Mar-25
PEN111111777777,8949,JOHNc,TERSOOw,JOHN,M,16-Oct-02,77058443892,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-99,P148,18-Mar-26
PEN111111777777,8950,JOHNb,TERSOOa,JOHN,M,17-Oct-02,77058443893,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-00,P149,18-Mar-27
PEN111111777777,8951,JOHNs,TERSOOs,JOHN,M,18-Oct-02,77058443894,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-01,P150,18-Mar-28
PEN111111777777,8952,JOHNs,TERSOOb,JOHN,M,19-Oct-02,77058443895,8033344455,JOHNTERSOO@GMAIL.COM,BENUE STATE UNIVERSITY,06-Jun-02,P151,18-Mar-29
